"affy_hg_u133_plus_2","ensembl_gene_id","gene_biotype","external_gene_name","p_value"
"202357_s_at","ENSG00000239754","protein_coding","CFB",NA
"200045_at","ENSG00000231129","protein_coding","ABCF1",NA
"203694_s_at","ENSG00000206486","protein_coding","DHX16",NA
"202946_s_at","ENSG00000132640","protein_coding","BTBD3",NA
"201338_x_at","ENSG00000122034","protein_coding","GTF3A",NA
"201049_s_at","ENSG00000226225","protein_coding","RPS18",NA
"203796_s_at","ENSG00000282873","protein_coding","BCL7A",NA
"203795_s_at","ENSG00000282873","protein_coding","BCL7A",NA
"201500_s_at","ENSG00000227720","protein_coding","PPP1R11",NA
"201797_s_at","ENSG00000231945","protein_coding","VARS1",NA
"201796_s_at","ENSG00000231945","protein_coding","VARS1",NA
"202519_at","ENSG00000281178","protein_coding","MLXIP",NA
"203932_at","ENSG00000226264","protein_coding","HLA-DMB",NA
"204870_s_at","ENSG00000125851","protein_coding","PCSK2",NA
"204869_at","ENSG00000125851","protein_coding","PCSK2",NA
"200041_s_at","ENSG00000230624","protein_coding","DDX39B",NA
"201390_s_at","ENSG00000224774","protein_coding","CSNK2B",NA
"202000_at","ENSG00000281013","protein_coding","NDUFA6",NA
"202001_s_at","ENSG00000281013","protein_coding","NDUFA6",NA
"203932_at","ENSG00000239329","protein_coding","HLA-DMB",NA
"204090_at","ENSG00000272295","protein_coding","",NA
"201137_s_at","ENSG00000215048","protein_coding","HLA-DPB1",NA
"203052_at","ENSG00000235017","protein_coding","C2",NA
"204265_s_at","ENSG00000234243","protein_coding","GPSM3",NA
"201390_s_at","ENSG00000224398","protein_coding","CSNK2B",NA
"203387_s_at","ENSG00000136111","protein_coding","TBC1D4",NA
"203386_at","ENSG00000136111","protein_coding","TBC1D4",NA
"202505_at","ENSG00000125870","protein_coding","SNRPB2",NA
"204265_s_at","ENSG00000206314","protein_coding","GPSM3",NA
"204011_at","ENSG00000136158","protein_coding","SPRY2",NA
"200750_s_at","ENSG00000137321","processed_pseudogene","RANP1",NA
"203727_at","ENSG00000228896","protein_coding","SKIV2L",NA
"200045_at","ENSG00000236342","protein_coding","ABCF1",NA
"201763_s_at","ENSG00000227046","protein_coding","DAXX",NA
"201021_s_at","ENSG00000125868","protein_coding","DSTN",NA
"201022_s_at","ENSG00000125868","protein_coding","DSTN",NA
"201255_x_at","ENSG00000233348","protein_coding","BAG6",NA
"203307_at","ENSG00000206492","protein_coding","GNL1",NA
"201255_x_at","ENSG00000227761","protein_coding","BAG6",NA
"201631_s_at","ENSG00000206478","protein_coding","IER3",NA
"202345_s_at","ENSG00000240122","processed_pseudogene","FABP5P11",NA
"200045_at","ENSG00000206490","protein_coding","ABCF1",NA
"204128_s_at","ENSG00000133119","protein_coding","RFC3",NA
"204127_at","ENSG00000133119","protein_coding","RFC3",NA
"202581_at","ENSG00000212866","protein_coding","HSPA1B",NA
"200800_s_at","ENSG00000212866","protein_coding","HSPA1B",NA
"203577_at","ENSG00000221974","protein_coding","GTF2H4",NA
"201078_at","ENSG00000125304","protein_coding","TM9SF2",NA
"203889_at","ENSG00000281931","protein_coding","SCG5",NA
"203694_s_at","ENSG00000231377","protein_coding","DHX16",NA
"200041_s_at","ENSG00000215425","protein_coding","DDX39B",NA
"201500_s_at","ENSG00000237829","protein_coding","PPP1R11",NA
"201137_s_at","ENSG00000230763","protein_coding","HLA-DPB1",NA
